t,y,u,ref,a1_est,a2_est,b1_est,b2_est,Kp,Ki,Kd
6.48,1.8797893930001443e-05,0.00013334034073136187,0.0,-2.006152706352892,0.9998455694552922,0.0002919199888494033,0.0002929552229737071,58.04404822501439,61.64389215588406,10.958914161046055
6.5,1.7939622702549262e-05,0.0001268540262025625,0.0,-2.006152706352892,0.9998455694552922,0.0002919199888494033,0.0002929552229737071,58.04404822501439,61.64389215588406,10.958914161046055
6.5200000000000005,1.7118535501725216e-05,0.0001206746920466784,0.0,-2.006152706352892,0.9998455694552922,0.0002919199888494033,0.0002929552229737071,58.04404822501439,61.64389215588406,10.958914161046055
6.54,1.633315202018329e-05,0.00011478833634502908,0.0,-2.006152706352892,0.9998455694552922,0.0002919199888494033,0.0002929552229737071,58.04404822501439,61.64389215588406,10.958914161046055
6.5600000000000005,1.558204190823471e-05,0.00010918156477314619,0.0,-2.006152706352892,0.9998455694552922,0.0002919199888494033,0.0002929552229737071,58.04404822501439,61.64389215588406,10.958914161046055
6.58,1.4863823756660115e-05,0.00010384156323701472,0.0,-2.006152706352892,0.9998455694552922,0.0002919199888494033,0.0002929552229737071,58.04404822501439,61.64389215588406,10.958914161046055
6.6000000000000005,1.4177164040986346e-05,9.875607451534954e-05,0.0,-2.006152706352892,0.9998455694552922,0.0002919199888494033,0.0002929552229737071,58.04404822501439,61.64389215588406,10.958914161046055
6.62,1.3520776035409832e-05,9.391337628435317e-05,0.0,-2.006152706352892,0.9998455694552922,0.0002919199888494033,0.0002929552229737071,58.04404822501439,61.64389215588406,10.958914161046055
6.640000000000001,1.289341870277675e-05,8.930211358562862e-05,0.0,-2.006153414031816,0.9998463270250499,0.0002919210947418673,0.0002929477529567194,58.04461180253124,61.64458546797537,10.959037416528954
6.66,1.2293895609100348e-05,8.491189362806327e-05,0.0,-2.006153414031816,0.9998463270250499,0.0002919210947418673,0.0002929477529567194,58.04461180253124,61.64458546797537,10.959037416528954
6.68,1.1721053730633832e-05,8.073232092787772e-05,0.0,-2.006153414031816,0.9998463270250499,0.0002919210947418673,0.0002929477529567194,58.04461180253124,61.64458546797537,10.959037416528954
6.7,1.1173782254326952e-05,7.675357373975166e-05,0.0,-2.006153414031816,0.9998463270250499,0.0002919210947418673,0.0002929477529567194,58.04461180253124,61.64458546797537,10.959037416528954
6.72,1.065101147783118e-05,7.296629500171115e-05,0.0,-2.006153414031816,0.9998463270250499,0.0002919210947418673,0.0002929477529567194,58.04461180253124,61.64458546797537,10.959037416528954
6.74,1.0151711665236292e-05,6.936155093403243e-05,0.0,-2.006153414031816,0.9998463270250499,0.0002919210947418673,0.0002929477529567194,58.04461180253124,61.64458546797537,10.959037416528954
6.76,9.674891895366345e-06,6.593080796629528e-05,0.0,-2.006153414031816,0.9998463270250499,0.0002919210947418673,0.0002929477529567194,58.04461180253124,61.64458546797537,10.959037416528954
6.78,9.219598914235913e-06,6.266591484784678e-05,0.0,-2.006153414031816,0.9998463270250499,0.0002919210947418673,0.0002929477529567194,58.04461180253124,61.64458546797537,10.959037416528954
6.8,8.784915996410181e-06,5.9559086470516284e-05,0.0,-2.006153414031816,0.9998463270250499,0.0002919210947418673,0.0002929477529567194,58.04461180253124,61.64458546797537,10.959037416528954
6.82,8.369961818047982e-06,5.660288850286164e-05,0.0,-2.006153414031816,0.9998463270250499,0.0002919210947418673,0.0002929477529567194,58.04461180253124,61.64458546797537,10.959037416528954
6.84,7.97388934374306e-06,5.379017293200637e-05,0.0,-2.006153926412837,0.9998468754022295,0.0002919219384519112,0.00029294202062839973,58.04504793989156,61.64511705086074,10.95913192015302
6.86,7.5958847435031314e-06,5.111427264169145e-05,0.0,-2.006153926412837,0.9998468754022295,0.0002919219384519112,0.00029294202062839973,58.04504793989156,61.64511705086074,10.95913192015302
6.88,7.235166294918742e-06,4.856866728270229e-05,0.0,-2.006153926412837,0.9998468754022295,0.0002919219384519112,0.00029294202062839973,58.04504793989156,61.64511705086074,10.95913192015302
6.9,6.890983304448878e-06,4.6147171890612005e-05,0.0,-2.006153926412837,0.9998468754022295,0.0002919219384519112,0.00029294202062839973,58.04504793989156,61.64511705086074,10.95913192015302
6.92,6.5626150836176575e-06,4.3843893608150455e-05,0.0,-2.006153926412837,0.9998468754022295,0.0002919219384519112,0.00029294202062839973,58.04504793989156,61.64511705086074,10.95913192015302
6.94,6.249369931090166e-06,4.1653211559579536e-05,0.0,-2.006153926412837,0.9998468754022295,0.0002919219384519112,0.00029294202062839973,58.04504793989156,61.64511705086074,10.95913192015302
6.96,5.950584132761461e-06,3.956976318676884e-05,0.0,-2.006153926412837,0.9998468754022295,0.0002919219384519112,0.00029294202062839973,58.04504793989156,61.64511705086074,10.95913192015302
6.98,5.6656209834336605e-06,3.758843259106962e-05,0.0,-2.006153926412837,0.9998468754022295,0.0002919219384519112,0.00029294202062839973,58.04504793989156,61.64511705086074,10.95913192015302
7.0,5.393869831313791e-06,3.570433969724029e-05,0.0,-2.006153926412837,0.9998468754022295,0.0002919219384519112,0.00029294202062839973,58.04504793989156,61.64511705086074,10.95913192015302
7.0200000000000005,5.134745145880313e-06,3.3912829924806785e-05,0.0,-2.006153926412837,0.9998468754022295,0.0002919219384519112,0.00029294202062839973,58.04504793989156,61.64511705086074,10.95913192015302
7.04,4.887685609425464e-06,3.220944779464517e-05,0.0,-2.0061543107724495,0.9998472866787959,0.00029192260074306495,0.00029293749922508017,58.04539430526431,61.64553605045877,10.959206408970449
7.0600000000000005,4.652153237285137e-06,3.0589996635780036e-05,0.0,-2.0061543107724495,0.9998472866787959,0.00029192260074306495,0.00029293749922508017,58.04539430526431,61.64553605045877,10.959206408970449
7.08,4.427632511441119e-06,2.905042339969554e-05,0.0,-2.0061543107724495,0.9998472866787959,0.00029192260074306495,0.00029293749922508017,58.04539430526431,61.64553605045877,10.959206408970449
7.1000000000000005,4.21362953826598e-06,2.7586876594172118e-05,0.0,-2.0061543107724495,0.9998472866787959,0.00029192260074306495,0.00029293749922508017,58.04539430526431,61.64553605045877,10.959206408970449
7.12,4.009671241853338e-06,2.6195687816453237e-05,0.0,-2.0061543107724495,0.9998472866787959,0.00029192260074306495,0.00029293749922508017,58.04539430526431,61.64553605045877,10.959206408970449
7.140000000000001,3.815304576277628e-06,2.4873361096348627e-05,0.0,-2.0061543107724495,0.9998472866787959,0.00029192260074306495,0.00029293749922508017,58.04539430526431,61.64553605045877,10.959206408970449
7.16,3.630095760333653e-06,2.361656454609997e-05,0.0,-2.0061543107724495,0.9998472866787959,0.00029192260074306495,0.00029293749922508017,58.04539430526431,61.64553605045877,10.959206408970449
7.18,3.4536295354851614e-06,2.242212284213277e-05,0.0,-2.0061543107724495,0.9998472866787959,0.00029192260074306495,0.00029293749922508017,58.04539430526431,61.64553605045877,10.959206408970449
7.2,3.2855084469797284e-06,2.128701014178127e-05,0.0,-2.0061543107724495,0.9998472866787959,0.00029192260074306495,0.00029293749922508017,58.04539430526431,61.64553605045877,10.959206408970449
7.22,3.1253521478623718e-06,2.020834332446637e-05,0.0,-2.0061543107724495,0.9998472866787959,0.00029192260074306495,0.00029293749922508017,58.04539430526431,61.64553605045877,10.959206408970449
7.24,2.9727967255426665e-06,1.9183370402513832e-05,0.0,-2.006154607566686,0.9998476041977813,0.00029192313293962944,0.0002929338512745719,58.04567534692534,61.64587391278476,10.959266473383957
7.26,2.82749405203241e-06,1.820948576867538e-05,0.0,-2.006154607566686,0.9998476041977813,0.00029192313293962944,0.0002929338512745719,58.04567534692534,61.64587391278476,10.959266473383957
7.28,2.6891111526758247e-06,1.7284191504448956e-05,0.0,-2.006154607566686,0.9998476041977813,0.00029192313293962944,0.0002929338512745719,58.04567534692534,61.64587391278476,10.959266473383957
7.3,2.5573295962481974e-06,1.6405112232245378e-05,0.0,-2.006154607566686,0.9998476041977813,0.00029192313293962944,0.0002929338512745719,58.04567534692534,61.64587391278476,10.959266473383957
7.32,2.4318449095492576e-06,1.5569986605741995e-05,0.0,-2.006154607566686,0.9998476041977813,0.00029192313293962944,0.0002929338512745719,58.04567534692534,61.64587391278476,10.959266473383957
7.34,2.3123660109343966e-06,1.4776661316745718e-05,0.0,-2.006154607566686,0.9998476041977813,0.00029192313293962944,0.0002929338512745719,58.04567534692534,61.64587391278476,10.959266473383957
7.36,2.1986146634504012e-06,1.4023085931086097e-05,0.0,-2.006154607566686,0.9998476041977813,0.00029192313293962944,0.0002929338512745719,58.04567534692534,61.64587391278476,10.959266473383957
7.38,2.090324947386948e-06,1.3307308097779853e-05,0.0,-2.006154607566686,0.9998476041977813,0.00029192313293962944,0.0002929338512745719,58.04567534692534,61.64587391278476,10.959266473383957
7.4,1.987242751825383e-06,1.2627469004717671e-05,0.0,-2.006154607566686,0.9998476041977813,0.00029192313293962944,0.0002929338512745719,58.04567534692534,61.64587391278476,10.959266473383957
7.42,1.8891252847052168e-06,1.1981799042389437e-05,0.0,-2.006154607566686,0.9998476041977813,0.00029192313293962944,0.0002929338512745719,58.04567534692534,61.64587391278476,10.959266473383957
7.44,1.795740600912351e-06,1.1368612320571184e-05,0.0,-2.006154842316374,0.9998478552962747,0.00029192356902477264,0.0002929308518173689,58.045907534978774,61.646151578368936,10.959315836154477
7.46,1.7068671482822449e-06,1.0786308281962012e-05,0.0,-2.006154842316374,0.9998478552962747,0.00029192356902477264,0.0002929308518173689,58.045907534978774,61.646151578368936,10.959315836154477
