t,y,u,ref,a1_est,a2_est,b1_est,b2_est,Kp,Ki,Kd
11.46,-4.807998904710845e-05,-0.008165294372015422,0.0,-1.9704577197721507,0.8739272974507718,0.0002300597087791849,0.00034890560191864545,212.54585838985082,59.760860479366826,10.624152974109657
11.48,0.00010811401364798929,0.025070210412788917,0.0,-1.9704577197721507,0.8739272974507718,0.0002300597087791849,0.00034890560191864545,212.54585838985082,59.760860479366826,10.624152974109657
11.5,0.00026593828623167493,0.059798971754506575,0.0,-1.9704577197721507,0.8739272974507718,0.0002300597087791849,0.00034890560191864545,212.54585838985082,59.760860479366826,10.624152974109657
11.52,0.00042625150592088146,0.09570449351975492,0.0,-1.9704577197721507,0.8739272974507718,0.0002300597087791849,0.00034890560191864545,212.54585838985082,59.760860479366826,10.624152974109657
11.540000000000001,0.0005890449878672476,0.1323271448688368,0.0,-1.9704577197721507,0.8739272974507718,0.0002300597087791849,0.00034890560191864545,212.54585838985082,59.760860479366826,10.624152974109657
11.56,0.0007535923166396606,0.1691333614630408,0.0,-1.9704577197721507,0.8739272974507718,0.0002300597087791849,0.00034890560191864545,212.54585838985082,59.760860479366826,10.624152974109657
11.58,0.0009186587114374629,0.205591268581175,0.0,-1.9704577197721507,0.8739272974507718,0.0002300597087791849,0.00034890560191864545,212.54585838985082,59.760860479366826,10.624152974109657
11.6,0.0010827293407588779,0.2412289398308845,0.0,-1.9704577197721507,0.8739272974507718,0.0002300597087791849,0.00034890560191864545,212.54585838985082,59.760860479366826,10.624152974109657
11.620000000000001,0.0012442191227245696,0.2756690704124489,0.0,-1.9704577197721507,0.8739272974507718,0.0002300597087791849,0.00034890560191864545,212.54585838985082,59.760860479366826,10.624152974109657
11.64,0.0014016384171140735,0.3275785375365494,0.0,-2.056625060295818,0.9547939898379268,0.0002444825435618789,0.0003294478182172248,225.6543137086381,62.90444600158489,11.18301262250398
11.66,0.0015481566934839926,0.35649342631356323,0.0,-2.056625060295818,0.9547939898379268,0.0002444825435618789,0.0003294478182172248,225.6543137086381,62.90444600158489,11.18301262250398
11.68,0.0016778734396363116,0.3784808974016641,0.0,-2.056625060295818,0.9547939898379268,0.0002444825435618789,0.0003294478182172248,225.6543137086381,62.90444600158489,11.18301262250398
11.700000000000001,0.0017928585287160922,0.39844613886522084,0.0,-2.056625060295818,0.9547939898379268,0.0002444825435618789,0.0003294478182172248,225.6543137086381,62.90444600158489,11.18301262250398
11.72,0.0018969600933602306,0.41823812090913226,0.0,-2.056625060295818,0.9547939898379268,0.0002444825435618789,0.0003294478182172248,225.6543137086381,62.90444600158489,11.18301262250398
11.74,0.001993790177739822,0.4385307596985051,0.0,-2.056625060295818,0.9547939898379268,0.0002444825435618789,0.0003294478182172248,225.6543137086381,62.90444600158489,11.18301262250398
11.76,0.0020859511615404567,0.45934086475730085,0.0,-2.056625060295818,0.9547939898379268,0.0002444825435618789,0.0003294478182172248,225.6543137086381,62.90444600158489,11.18301262250398
11.78,0.0021747957501807116,0.48027075142329123,0.0,-2.056625060295818,0.9547939898379268,0.0002444825435618789,0.0003294478182172248,225.6543137086381,62.90444600158489,11.18301262250398
11.8,0.0022604965086176747,0.5006955282216352,0.0,-2.056625060295818,0.9547939898379268,0.0002444825435618789,0.0003294478182172248,225.6543137086381,62.90444600158489,11.18301262250398
11.82,0.002342299687183619,0.5199222553792169,0.0,-2.056625060295818,0.9547939898379268,0.0002444825435618789,0.0003294478182172248,225.6543137086381,62.90444600158489,11.18301262250398
11.84,0.0024188636762903244,0.6296624878387785,0.0,-2.0775569577364155,0.9917353789706965,0.00017452733329431156,0.0002551486120751969,265.0827841690036,85.23546971862429,15.152972394422097
11.86,0.0024615585740746003,0.619515541947622,0.0,-2.0775569577364155,0.9917353789706965,0.00017452733329431156,0.0002551486120751969,265.0827841690036,85.23546971862429,15.152972394422097
